"FSC-A","SSC-A","SSC-W","mCherry-A","Time"
134966,114160,85915.4,3242.91,0
102461,92653.7,82544.7,1815.36,0.0321387
165638,179897,94021.5,3097.83,0.0411777
135635,101627,84493.5,2978.79,0.142615
159655,109370,88315.1,3174.09,0.149646
121080,162957,104562,3442.86,0.155672
161238,156920,94684.2,3647.46,0.262131
117459,107504,85170.4,2690.49,0.29427
124234,91679.3,81719.9,1969.74,0.303309
126096,165099,104177,2114.82,0.305317
127417,102217,89001.8,2569.59,0.311343
143419,118508,87023,2013.45,0.33143
127777,121215,87157.9,1941.84,0.357543
49909,88232.8,85967.4,1829.31,0.427846
74476.8,122939,99839.3,3553.53,0.493128
146274,111646,84743.5,1944.63,0.518236
155840,122181,86594.5,3704.19,0.552384
179303,181556,95215,3381.48,0.556401
116870,77758,77682.1,1806.06,0.561423
66499.9,102118,103425,1806.99,0.564436
97898.4,100038,85739.9,1836.75,0.616661
124222,113531,84355.1,2086.92,0.61867
115804,78682.8,81721.7,1865.58,0.619674
148186,129629,94174.1,3611.19,0.624696
174531,151187,94500.8,3344.28,0.626704
133916,98908.3,81846.2,1992.99,0.697008
104721,109276,82737.9,2023.68,0.706047
178597,180273,103664,3852.06,0.717094
170540,119811,87371.8,3574.92,0.730151
176669,144130,90521,3063.42,0.743207
175216,125860,84307,3729.3,0.747224
112312,104552,87958.1,2311.05,0.809493
247054,210370,99494,4056.66,0.823554
132865,105796,84590.6,2911.83,0.837614
108024,154021,98392.6,2537.97,0.894861
209735,157708,92488.3,3883.68,0.914948
172566,150363,91621.4,3249.42,0.914948
135238,100064,85139.8,2068.32,0.948091
153501,118637,89271.6,2611.44,0.959139
174266,177468,101602,1910.22,1.14996
145893,128349,84998.5,2270.13,1.15498
180185,138774,92085,3716.28,1.17005
194947,134909,85512.5,3719.07,1.18913
153667,134451,99944.4,3787.89,1.2735
67066.6,70569.2,83321.2,2003.22,1.31266
133001,125181,82715.2,2112.03,1.31568
107472,79898.3,81777.5,1955.79,1.34581
137349,142804,93085.5,3494.01,1.35183
159929,127341,91796,3764.64,1.35585
134579,104501,85642.6,2071.11,1.42214
135199,130831,86282.3,1999.5,1.46432
133044,135993,93383.4,2404.98,1.50449
111306,111641,86099.9,1923.24,1.51454
151571,172707,107037,3561.9,1.5748
121018,104193,85547.2,2029.26,1.57881
107153,123648,97907.3,2080.41,1.59388
166130,135959,91884.4,3605.61,1.60794
206787,169859,99046,3847.41,1.623
151803,168901,104367,3526.56,1.62903
115053,170945,108817,2065.53,1.64008
163351,176787,95723,3531.21,1.64108
140193,115593,86163.8,2197.59,1.65213
125963,92132.9,82392.1,1950.21,1.70636
194243,156069,94149.5,3926.46,1.74151
151202,134110,92797.6,2664.45,1.75558
99514.1,141021,100961,3625.14,1.75959
105054,87053.4,96279.4,1858.14,1.7616
186632,136057,93223.6,2972.28,1.84195
178374,167451,96240.4,2252.46,1.84998
194532,173536,97687.6,3946.92,1.85601
101633,94260.6,85405.5,1836.75,1.87409
82041.8,105372,89850.9,1796.76,1.90924
57057.1,80908,86998.5,1919.52,1.93133
167878,128811,87993,3656.76,1.94238
222071,201274,106857,4231.5,2.09203
116004,75510.1,80626.8,1854.42,2.13321
164608,136365,94957.2,3693.96,2.17338
178647,158894,96873.7,3901.35,2.18543
136766,131166,87272.7,3595.38,2.26076
144707,155257,102590,4010.16,2.27783
145850,117566,88459.6,2186.43,2.27783
196368,139642,91126,3603.75,2.27783
154859,136962,95623,3634.44,2.31097
155696,124109,90593,3848.34,2.317
130568,103269,83046.9,1870.23,2.36721
124750,163473,100936,3290.34,2.37023
151842,127511,90313,2322.21,2.37826
144770,138288,102696,3678.15,2.45057
123634,102541,86478.4,2145.51,2.48874
112719,100613,85120.2,1926.96,2.49276
169125,150731,93907.6,3006.69,2.56708
132166,93345,83575.3,1998.57,2.57109
190470,168857,97961.3,3844.62,2.5721
155670,150000,96222.5,3882.75,2.61026
108251,110470,84174.5,2090.64,2.62633
118900,106160,89327.9,1870.23,2.66651
169456,184174,93577.1,3571.2,2.67555
160878,111006,90568.2,3679.08,2.69965
134130,96575.6,81063.3,2082.27,2.70065
56635.9,73594.1,92947.8,2755.59,2.71572
205921,179575,91129.5,4152.45,2.72878
186995,161652,99786.5,3788.82,2.7338
126081,83805.1,84869.6,1989.27,2.74585
142513,146459,94972.9,2937.87,2.8051
182629,139883,91556.3,3797.19,2.81213
162903,136874,86992.7,3793.47,2.9206
148054,120381,84769.3,2112.96,2.99191
121033,107836,87499.1,2009.73,2.99392
155959,136034,91679.6,3622.35,3.01802
165092,148242,91277,2754.66,3.0592
149080,95791.9,84642.1,2444.97,3.0592
219201,176198,93636.4,2523.09,3.09536
132021,101028,85084.6,2020.89,3.09837
171950,161106,93144.9,3473.55,3.10339
169142,155282,94479.1,3882.75,3.13453
102977,84563.6,91149.2,3745.11,3.13553
148195,124724,88835.3,4049.22,3.1526
132792,127182,89003.4,1975.32,3.19278
166028,141045,94395.1,2186.43,3.22793
141673,139252,98133.3,3462.39,3.26308
126543,97593.7,83054,2202.24,3.27915
159291,128958,96951.6,3741.39,3.32133
177098,146149,96752.6,3977.61,3.33037
205996,202301,99845.8,3939.48,3.33138
168358,109216,84025.9,3547.02,3.36653
177275,128625,92816.2,3812.07,3.38762
171477,144125,89366.8,3819.51,3.40168
191157,145199,94350,3427.05,3.41674
167285,154134,96137.3,3887.4,3.42377
113802,76304.8,78705.5,1785.6,3.42578
170061,139096,88747,3795.33,3.46796
165116,120873,89137.6,3670.71,3.47098
95329.4,110231,95661.6,3402.87,3.476
183450,119053,87376.3,3507.96,3.48002
164585,139586,89143.6,2083.2,3.48002
124296,94341.2,83722.6,1858.14,3.52521
123180,118443,87039.9,1985.55,3.54128
146793,127623,93416.9,2990.88,3.58447
163395,104372,86238.6,2931.36,3.61962
148380,95071.2,79986,1878.6,3.63669
155051,130853,88334.1,2213.4,3.67586
67193.3,96566.4,96682.9,2697,3.72708
152592,112718,85205.7,2411.49,3.72909
157926,126058,89442.3,3512.61,3.73311
139613,107487,83069.4,1989.27,3.73512
113214,130075,99012.6,3534.93,3.73813
132129,121066,88119.3,2132.49,3.74215
168006,132738,92767.6,3828.81,3.78031
160480,150001,102769,3775.8,3.79638
