"FSC-A","SSC-A","SSC-W","mCherry-A","Time"
145044,113182,101179,4613.7,0.21583
70504.4,56365.3,87919.9,2145.78,0.218855
136211,69429.5,78880.3,2480.66,0.224907
105059,63590.4,75817.6,2416.05,0.226924
134803,117443,87961,3658.2,0.226924
102217,95177.8,93867.2,2923.83,0.228941
93442.4,119181,93398.2,4575.48,0.228941
103406,69606.3,81211.3,2311.4,0.229949
121220,78762.9,81352.3,2348.71,0.238018
86977.1,81421.3,84776.9,2256.8,0.260206
110701,93714.5,87275.6,2940.21,0.260206
66279.9,40839.3,73955.4,2365.09,0.261214
83963.2,57364.6,81232.7,2237.69,0.26424
111324,92758.3,84235.3,2710.89,0.274326
133545,93146.8,81040.6,3919.37,0.277351
130992,114510,89482.4,4049.5,0.29248
150676,93605.7,76332.6,3731,0.295505
86870.6,98480.3,98291.4,2305.03,0.296514
100905,97602.2,97178.1,2397.85,0.298531
123674,68680.8,79861.4,2331.42,0.299539
166606,124014,89804.7,4631.9,0.302565
123077,78151.1,86911.8,3198.65,0.305591
122154,87376.6,85338.7,4125.94,0.317693
107903,111530,90998.8,2344.16,0.320719
127907,100760,87637.2,4439.89,0.321727
98077.3,67068.1,77933.6,2409.68,0.331813
124542,64352.4,77587,2180.36,0.334839
88490.8,59089.4,80806.3,2256.8,0.338873
106294,101283,93399.3,2820.09,0.362069
67090,38143.5,77531.5,2216.76,0.370138
112858,90829.4,92268.3,3041.22,0.372155
111445,91803.8,88683.3,2329.6,0.374172
95921.7,52081.7,78259.8,2134.86,0.394343
88725.1,58427,80133,2306.85,0.400394
144212,121597,94390.5,4157.79,0.401403
73132.1,93873.8,93125,2909.27,0.406446
79480.2,81891.1,95213.7,2419.69,0.412497
100368,76800.7,84623.1,2955.68,0.41754
102258,72615,80781.2,2498.86,0.41754
95788.9,72700.5,81056.5,2396.03,0.422583
96697,110115,91471,3442.53,0.422583
86079.7,73152,81717,2158.52,0.427625
108281,73526.4,76467.9,2422.42,0.428634
89766.7,62338,80625.6,2315.95,0.431659
137259,96900.8,83081.4,3584.49,0.432668
113998,67010.9,79969.9,2413.32,0.433677
131417,95380.3,79796.3,2476.11,0.434685
100800,104938,94178.5,3814.72,0.435694
112069,103107,87363.3,2728.18,0.435694
111094,102791,85542.6,4525.43,0.436702
97549.7,79444.3,80289.6,2453.36,0.437711
178035,118950,88850.7,4713.8,0.438719
86923.9,61188.4,81968.1,2190.37,0.439728
125639,96111.5,87676.4,4268.81,0.440736
85134.7,65044.6,83376,3169.53,0.446788
84038.4,71045.5,86112.9,2191.28,0.478053
79850.1,82694.6,82236.5,2310.49,0.492172
113712,88146,91181.9,3690.05,0.502258
105538,72757,76357.2,1888.25,0.506292
175017,149844,91450,4702.88,0.571848
133006,77915.4,77509.8,3229.59,0.577899
92966,51029.2,75682.4,2425.15,0.584959
101728,76936,80417.2,2418.78,0.606139
137934,107800,88971.8,4833.01,0.614207
150171,100431,85769.1,4304.3,0.632361
94142.4,52367.2,73096.1,2336.88,0.634378
109243,65326,80778.9,2123.94,0.644464
71494.9,82058.8,90289.2,2200.38,0.648498
77106,47787.3,77659.8,2181.27,0.652532
93808,68807.8,83640.4,2323.23,0.659592
108913,67113.8,78008.8,2503.41,0.706994
111745,102823,87306.8,2223.13,0.710019
114369,91021.1,82462.3,4465.37,0.741284
89053.9,70294.4,79019.1,2199.47,0.745319
154147,113164,86826.7,4516.33,0.757421
127042,120913,92250.5,4443.53,0.764481
81679.1,75941.7,90824.6,2445.17,0.764481
66872.8,59050.3,77825,2381.47,0.764481
113765,95847.6,89096.3,4553.64,0.768515
118860,138437,106258,3997.63,0.780618
99691.1,87300.2,89865.8,2714.53,0.782635
75013.6,64666.1,86063.9,2121.21,0.785661
102890,62050,77619.9,2355.08,0.79272
131280,109924,85293.8,2430.61,0.795746
127767,77066.3,81212.7,2477.93,0.800789
108186,75367.3,79776.4,2466.1,0.803814
145452,107066,86620.2,4459,0.821968
87601.9,69824.6,87000,3915.73,0.823985
100094,73462.5,82302.3,2222.22,0.835079
155600,95850.9,83603.1,4284.28,0.852225
152788,104906,86103.8,4376.19,0.852225
84174.8,68741.4,85060.1,2628.08,0.852225
125639,104136,83685.7,4323.41,0.853233
68277.9,77250.6,85216.2,2324.14,0.85525
127358,133092,97067.9,3973.97,0.861302
121624,86570.7,82493.6,4151.42,0.868362
158576,101084,83697.3,3337.88,0.88349
104868,71471.3,75313,2505.23,0.888533
83999.4,65350.9,84749.9,2060.24,0.906687
95576.6,83693,82791.1,2764.58,0.910721
120377,54497.8,73728.8,2374.19,0.914755
119025,63969.8,77844.6,2275,0.921815
109004,85897.5,86209.3,2338.7,0.94602
162569,107717,84346.4,4357.99,0.952071
94058.7,83726.3,80997.3,2240.42,0.961148
102292,92861.2,90493.1,2934.75,0.963165
117665,110010,88658.3,3518.97,0.968208
106067,60198.2,75958.9,2166.71,0.975268
130497,113927,91900.8,4130.49,0.996448
78240.6,58619.6,77624.1,2440.62,0.997456
112196,80194.6,79554.9,2184.91,1.00048
135925,116327,93561.8,4340.7,1.00552
130520,68716.5,75892.9,2130.31,1.00956
118272,84490.7,89088.1,3853.85,1.00956
108755,116025,89298.9,4387.11,1.01561
126761,97810.5,82785.9,4472.65,1.01763
126188,113632,85619.2,4321.59,1.0257
102822,91712.5,85649.8,2217.67,1.04284
117460,60712,75519.5,2212.21,1.05293
82908.1,73692.4,80140.4,2165.8,1.05999
79449.7,62593.6,84700.6,2380.56,1.06705
115557,61553.6,75788.2,2240.42,1.08923
79882.8,72481.4,81626,2411.5,1.08923
120377,95179.4,83263.4,3386.11,1.09327
105799,59944.3,78177.7,2194.01,1.09529
122283,74714.1,80541.9,2416.96,1.10537
98838.4,111554,97338.2,3927.56,1.11344
110225,65662.1,74954.9,2429.7,1.11546
105387,57460.1,74961.7,2195.83,1.11747
101868,106550,102597,3631.81,1.11848
108630,85748.1,83093.1,2199.47,1.11848
119957,115005,87287.8,4184.18,1.11848
132236,88922,84734.2,3053.05,1.11848
115340,73373.7,80386.1,2373.28,1.12453
136608,106942,86344.3,3418.87,1.12554
122710,108817,90895,4692.87,1.12756
145622,85025.2,79686.1,2482.48,1.12756
162987,106931,83620,4098.64,1.12857
100486,59796.5,76269.9,2446.99,1.13361
88030.8,59291,77804.2,2368.73,1.13361
98224.2,71990,80990.5,2173.08,1.13563
202493,191705,95332.5,2501.59,1.13563
110235,75552.4,86362.2,4095.91,1.13664
112691,98962.6,89862,4374.37,1.13865
132017,103425,83159,4207.84,1.13966
87807.1,73657.5,82322.4,2093.91,1.1447
92358.9,74749.8,81271.5,2305.03,1.1558
62759,78831.7,92916,2335.06,1.16588
72482.5,60751.8,81325.1,2131.22,1.16588
134474,106441,93364.2,4436.25,1.17093
107497,81940.9,88839.5,3760.12,1.17194
95199.6,110746,95032.9,4282.46,1.17597
85212.8,82642.3,89969,2186.73,1.18404
118184,83160.2,78615,2680.86,1.19211
90718.1,63054.3,82550.7,2255.89,1.19816
106802,88590.9,81405.1,2341.43,1.20118
105729,94008.3,84062.3,2155.79,1.21833
172504,111138,85067.1,4135.95,1.21934
119707,106952,88145.2,4453.54,1.21934
88970.8,57444.3,76464.8,2144.87,1.22035
77052,90990.4,93330.2,2630.81,1.22236
66145.7,62387.8,84237.7,2229.5,1.22438
111273,118194,91009.4,4408.04,1.22539
112693,73018.4,79045.5,2219.49,1.23043
86318.3,63495.8,81029.4,2357.81,1.25161
134837,84086.5,81990.9,2519.79,1.25464
118339,74345.6,80102.5,3569.02,1.2859
93248.6,62105.6,82153.9,2261.35,1.30103
107652,88405,87701.1,4299.75,1.30809
173166,88918.7,82539.6,4459.91,1.3091
95702.3,70892.8,80162,4255.16,1.3091
88837.3,56582.8,75390,2296.84,1.32019
104917,56796.1,74470.6,2402.4,1.32322
74424.3,66552.7,82559.1,2273.18,1.32624
107591,100462,87666.1,4802.07,1.32725
72462.6,34550.4,74505.5,1796.34,1.33229
120603,90511.5,82902.6,3959.41,1.3333
118668,98130.9,83714.4,2335.97,1.33734
91318.8,83381.8,87996.8,3508.05,1.34036
110320,91205.4,82518.6,3224.13,1.34339
99937.5,80088.4,81472,2751.84,1.34339
92456.2,58630.4,80604.1,2271.36,1.3444
131216,75912.6,75171.6,3265.99,1.34944
139331,94818.4,84326.5,4488.12,1.35247
122082,83747,81777.9,3459.82,1.35549
100104,149408,99119.5,2417.87,1.35852
140732,97792.3,78649.5,2376.01,1.36154
99111,101287,92336.9,2339.61,1.36356
108277,72065.6,78504.2,2390.57,1.36457
