"FSC-A","SSC-A","SSC-W","mCherry-A","Time"
127370,142069,94257.9,3141.32,0.20068
83662.8,102522,84225.7,2269.54,0.211717
206049,183368,94231.8,4504.5,0.215731
127148,132620,101746,3161.34,0.219744
50210.5,50869.9,86283.1,2084.81,0.219744
136108,123371,87213.9,3768.31,0.222755
208523,190503,95543.9,4163.25,0.232789
116581,133798,93200.3,2442.44,0.234795
161677,186219,96393.1,4255.16,0.237806
137228,129660,93224.4,2960.23,0.237806
136476,134005,89924,2359.63,0.239812
98416.6,84846.8,84344.8,2326.87,0.249846
132269,107844,84145.5,2244.06,0.257874
129933,133417,92890.5,3801.98,0.25988
162525,174749,99858.3,4425.33,0.269914
110006,89198.4,81216.4,2272.27,0.270918
137523,131201,97987,4342.52,0.271921
138530,199228,106831,4644.64,0.276938
130673,104273,87019.3,3995.81,0.286972
190344,159186,91803.8,4411.68,0.289982
134779,115484,90931.8,2447.9,0.296003
129160,121143,84392.3,2362.36,0.297006
154550,122009,87542.9,4391.66,0.30403
173513,155514,91332.1,4439.89,0.325101
151999,141103,89896.1,3726.45,0.345169
130107,188390,108188,4376.19,0.345169
163299,144564,92009.4,4366.18,0.350186
172346,166304,94517.3,4369.82,0.3542
172347,116331,82053.1,2453.36,0.355203
156997,158653,95587,4571.84,0.35721
96811.3,71194.1,80680.9,2256.8,0.359217
119225,133502,96489.6,4352.53,0.361224
139577,141843,90450,1862.77,0.372261
123595,112712,89410.2,3680.95,0.395339
149030,132226,93329.4,4287.92,0.398349
189296,207016,110480,4597.32,0.424438
82738.4,96866.8,79968,2345.98,0.439489
126787,104893,83438.7,2408.77,0.441496
154069,136040,89941.5,4190.55,0.441496
200077,173430,95819.5,4029.48,0.442499
85414.4,92968.3,88219.2,2214.94,0.455543
83629.5,72292.2,87447.7,2283.19,0.458553
109963,81174,81052.8,2224.04,0.465577
153896,163659,95003.6,4262.44,0.466581
176021,139948,99218.2,4000.36,0.469591
102067,91192.1,84932.6,2311.4,0.475611
125038,144182,94306.1,4314.31,0.478621
106940,104924,90341.8,2234.05,0.486649
151738,143805,93955.6,4367.09,0.490662
58547.3,64376.5,80787.7,2279.55,0.492669
133872,137759,94040.7,4359.81,0.499693
96802.1,91030.3,83419.7,2283.19,0.502703
129958,94473.9,79541.7,2325.05,0.506717
139462,137720,92411.4,4465.37,0.511734
105538,100039,88417.5,2234.96,0.520764
175410,134047,88028.9,3161.34,0.528791
149713,172360,99883.3,3675.49,0.531802
186952,169122,98732.9,4529.07,0.531802
176371,214626,110028,4498.13,0.549863
119004,71806.6,77224.7,2269.54,0.549863
154222,150323,92345.2,4497.22,0.549863
69600.6,75588.9,83687.5,2341.43,0.55789
128488,122613,93079.3,4328.87,0.561904
141211,162260,95895.7,4450.81,0.580968
75125.8,108423,95406.7,2295.02,0.60204
167069,203357,110953,4663.75,0.613077
127623,144251,96862.8,3490.76,0.617091
138850,100410,83620,2394.21,0.617091
183942,144662,90144,4553.64,0.625118
105971,99561,87094.1,2217.67,0.629131
150495,178662,95420.2,4250.61,0.635152
123852,155266,90770.4,4204.2,0.650203
125740,148046,96102,4576.39,0.656223
122942,111419,82260.9,2360.54,0.669267
110311,98268.7,85536.6,2258.62,0.673281
85601.1,113932,100479,2234.96,0.674284
178494,194115,101535,4275.18,0.699369
109659,136066,97052.9,3554.46,0.741512
159139,135297,91431.6,4347.07,0.744522
145553,182615,106815,4252.43,0.751546
104230,70438.8,77674.6,2348.71,0.775628
99451.8,100328,85007.7,2238.6,0.775628
146278,150318,98135.6,4368.91,0.780645
134147,146956,107693,4577.3,0.781648
150717,150018,104841,4447.17,0.793689
122928,99425.7,81683.4,2277.73,0.798706
132274,88747.8,80777.9,2143.05,0.815764
121647,155514,100082,3070.34,0.819777
133613,120157,92093.5,4417.14,0.823791
174917,142097,93036.2,4290.65,0.836835
133883,106365,83431.5,3068.52,0.846869
128712,117706,91085.3,2376.01,0.853893
125683,144329,89072.8,4411.68,0.859913
125990,170273,112346,3862.04,0.862923
125328,90715.7,80864.3,2339.61,0.868944
136044,110828,85721.2,3180.45,0.877974
134705,93646.4,80777.2,2393.3,0.882991
97409.2,107380,92471.7,2327.78,0.888008
151006,138975,90014.8,2343.25,0.904063
105390,110793,89436.5,2394.21,0.90607
101352,93445.5,88342,2355.99,0.920117
92064.3,109658,89732,2423.33,0.921121
89800.8,75106.7,82868,2297.75,0.96527
121763,135149,93128.9,4603.69,0.966273
