"FSC-A","SSC-A","SSC-W","mCherry-A","Time"
121403,153480,103010,2212.47,0.00602374
136128,186399,105729,2226.42,0.00803165
199318,206364,108519,2965.77,0.0130514
143236,114757,94352.5,2132.49,0.0140554
171184,200260,101258,2391.96,0.0180712
164403,175604,98679.2,2344.53,0.0361424
142850,119858,93069.9,2110.17,0.0522058
189724,210696,106350,2680.26,0.0632493
125639,145564,108081,2217.12,0.0672651
119120,118316,92049.1,1826.52,0.0752968
166401,199889,109681,2404.98,0.12951
215109,224171,115242,2674.68,0.159629
100151,97021.7,88536.3,1966.02,0.189748
185468,174897,99121.9,1965.09,0.217859
215349,233836,115279,2664.45,0.219867
138231,139962,95372.3,2061.81,0.221874
173025,212922,111218,2787.21,0.223882
102719,143773,100677,2120.4,0.224886
158934,155276,97080.3,2365.92,0.22589
154801,136427,91828.4,2049.72,0.22589
182768,192806,110306,2408.7,0.228902
155717,165971,97684.8,2257.11,0.277092
123971,111723,92715.2,2286.87,0.299179
128740,166191,110299,2198.52,0.362428
91841,132130,91625,1973.46,0.387527
127463,140229,97294.3,2198.52,0.389535
129962,123644,92669.6,2100.87,0.394555
155180,153601,92859,2166.9,0.401583
86745.6,95307.2,96121.3,1993.92,0.426682
136072,125470,90368.4,2013.45,0.442745
174900,152982,92444.6,2166.9,0.475876
139742,166101,104258,2282.22,0.478887
153339,160609,96801.9,2179.92,0.480895
124039,117752,91735.8,2106.45,0.521054
187687,206770,97386.8,4025.97,0.525069
141841,211812,118283,2278.5,0.590327
163891,135024,93552.5,2230.14,0.595346
138856,145103,93160,2346.39,0.634501
179098,187460,103731,2389.17,0.680683
174185,151205,94906.5,2731.41,0.684699
146844,134623,90163,2141.79,0.69775
132929,156939,114319,2209.68,0.711805
147591,114864,92520.4,2177.13,0.724857
148856,154342,95482,2315.7,0.752968
153158,123483,88283.6,2123.19,0.853363
145665,133414,90977.7,2048.79,0.864407
102589,94870.4,88008.2,2039.49,0.865411
169739,177823,96114.6,2138.07,0.910589
132674,152726,105608,2298.03,0.914605
230062,218199,99546.1,2777.91,0.920628
208903,207327,104575,3450.3,0.927656
244077,214538,107685,3807.42,0.93368
148748,156374,93718.3,2498.91,1.10134
71532,81165.8,90312,1808.85,1.10536
130684,181357,102705,2119.47,1.11038
123591,124733,88171.1,2140.86,1.14451
185817,161997,98982.5,2670.03,1.15857
108325,170917,113724,2511.93,1.16459
187011,195060,97408,2173.41,1.18768
99169.9,134904,98792.8,1954.86,1.1937
169666,131076,89555.9,2181.78,1.20374
105310,167108,106429,2130.63,1.20575
193452,220041,106005,2457.06,1.20676
110872,116126,89327.3,1905.57,1.20977
111695,147680,101981,2246.88,1.21278
91622.9,105129,88292.2,2063.67,1.24892
160680,140172,93291.2,2444.97,1.38044
170210,195515,109774,2648.64,1.4457
134218,114862,100938,2070.18,1.45172
124730,103506,93157.4,2300.82,1.45373
148868,145391,100155,1919.52,1.45975
129768,140994,104525,1989.27,1.46578
94846.3,174098,94843,2160.39,1.63846
228469,231933,108515,4477.02,1.75994
46974.2,66537.2,83141.1,1865.58,1.76295
155976,144241,89070.4,2281.29,1.79507
158853,160715,94303.7,2253.39,1.8021
122269,168714,110648,2378.01,1.80511
185254,150460,94013.8,2216.19,1.89949
213468,187527,106416,3009.48,1.90451
151988,186274,102907,2442.18,1.94667
73380.2,92270.6,91096.1,1924.17,1.9798
136725,170345,101548,2208.75,2.00892
262143,209422,99985.3,2428.23,2.05711
141580,196258,117447,2736.06,2.12738
180743,160973,90689.9,2143.65,2.13341
164879,156054,93059,2193.87,2.13642
134008,126662,92753.9,2163.18,2.16955
145907,155324,99531.5,2449.62,2.17156
154689,152033,97859.4,1937.19,2.17959
96650.6,143343,105374,2166.9,2.1816
169003,157500,93924.4,2295.24,2.25388
109968,178945,105764,3069.93,2.25991
114906,155192,100034,1940.91,2.27095
84265.2,99666.8,86875.9,2106.45,2.34825
110994,104655,87130.5,1889.76,2.4617
180270,133929,90314.8,2400.33,2.46371
183899,180155,96298.9,2556.57,2.4878
114216,100481,86287.4,1963.23,2.52294
141209,113518,91637.4,2099.94,2.52395
200800,194573,105856,2538.9,2.54503
140583,139580,101593,1821.87,2.54804
161208,169671,97811,2672.82,2.5631
117414,160719,101464,2283.15,2.61832
130810,155816,97613.5,2133.42,2.67354
250648,201519,101499,3003.9,2.68458
130334,136492,94769.2,2177.13,2.6886
149978,126559,94628.6,1973.46,2.70868
216772,202471,102184,2569.59,2.71771
