"FSC-A","SSC-A","SSC-W","mCherry-A","Time"
228220,217677,104133,4079.53,0.203467
108385,114152,87837.2,3430.7,0.208478
72537.9,129037,108816,4165.07,0.209481
167191,181582,106347,4266.99,0.211485
117199,113327,88355.9,2257.71,0.21349
89188.1,140402,105617,4239.69,0.21349
200755,200445,102630,4157.79,0.230529
172078,109345,84856.4,3273.27,0.242556
131401,109813,83290.5,1991.99,0.297683
129470,89156.9,81898.8,2256.8,0.304699
151615,178231,106716,3994.9,0.337775
157367,149105,99453.6,4229.68,0.36183
136145,160604,103979,4298.84,0.37486
166464,140521,101202,4063.15,0.381876
167223,146449,90217,2258.62,0.396911
146955,207682,103893,3275.09,0.406934
105908,89280.6,82849.7,2262.26,0.424975
100694,82926.1,81481.4,2136.68,0.424975
193042,104907,84932.3,4173.26,0.442014
123938,101372,81811.7,2207.66,0.457049
141296,110319,88979,3890.25,0.46206
114780,148464,90289.8,2962.96,0.465067
110436,127715,96270,4132.31,0.476092
118240,158972,99807.1,4198.74,0.508166
223771,176913,90199.6,4478.11,0.51017
135440,120084,85305.4,2186.73,0.512175
201359,229149,107126,4525.43,0.5232
170730,132720,86727.2,4286.1,0.527209
185712,183835,109234,4384.38,0.531219
146620,120587,86582.8,2199.47,0.535228
132197,150223,102055,4401.67,0.552267
165086,214896,119433,4315.22,0.572313
136321,189516,111480,3717.35,0.581334
195901,177396,100177,4201.47,0.581334
114769,128115,91422.8,2610.79,0.585343
123860,85955.6,79467.1,2233.14,0.61441
86512.8,90946.4,89609.2,2122.12,0.617416
110401,130615,95333.7,4378.01,0.637462
140819,168143,115598,4411.68,0.642474
184195,191970,99042.2,4507.23,0.654502
68665.5,73549.6,83983.5,4352.53,0.659513
139583,130139,90895.2,2607.15,0.66252
124411,110295,88903.7,2332.33,0.690584
157150,184977,101650,4348.89,0.690584
152566,147216,102794,4442.62,0.690584
193875,201473,107843,4550.91,0.690584
81927.6,89007.5,87517.2,2604.42,0.694594
186245,144698,94403.6,4427.15,0.6976
124842,107361,91134.4,3998.54,0.704617
147032,152513,101899,4280.64,0.709628
126936,120538,98785.1,3532.62,0.71063
157537,109127,83494.6,2307.76,0.726667
160741,170142,95815.3,4096.82,0.73669
100001,82139.3,80794.3,2171.26,0.741702
128812,153861,103980,4354.35,0.786805
103544,116425,86043.9,2640.82,0.792819
119577,141313,90358.5,2373.28,0.794823
161087,172627,102685,4412.59,0.798833
165349,121579,91635.7,3684.59,0.799835
123444,119068,88849.2,2143.05,0.807853
166427,160829,96647.6,4126.85,0.807853
170395,159943,100712,4407.13,0.811863
51191.7,87780,94435.8,2361.45,0.846943
140826,92352.4,81755.1,2352.35,0.854961
111153,80637,87786,3225.04,0.857968
58901.6,60503.7,79311.3,2177.63,0.86298
168222,183575,103709,3460.73,0.873003
150574,194723,103238,2371.46,0.877012
114838,117161,87298.7,2173.99,0.886033
97777.6,81027.1,77463.4,2292.29,0.886033
111247,132318,97408.3,4307.03,0.892046
