"FSC-A","SSC-A","SSC-W","mCherry-A","Time"
168381,124811,86173.9,2413.32,0.216751
209455,185787,96493.6,4425.33,0.235905
171914,139727,91598.2,3782.87,0.244979
158332,118494,84783.2,2968.42,0.263125
180114,136463,90728.8,3634.54,0.26615
133601,134781,93390.1,4367.09,0.273207
132437,142785,91003.7,2285.01,0.280264
110542,165588,94947.3,2369.64,0.281272
140182,163357,96422.4,2299.57,0.285304
176357,122103,85429.1,2353.26,0.287321
199051,176950,96435.9,4375.28,0.292361
173436,144716,89660.7,3832.92,0.299418
124858,126856,89530.9,2336.88,0.301435
157097,123116,87779.9,2513.42,0.303451
155690,152319,94686.2,2426.97,0.303451
157952,138246,90023.3,4408.04,0.304459
159423,117653,90586.8,3056.69,0.314541
105693,98331.8,85022.4,2272.27,0.317565
113737,140871,99339.5,2870.14,0.321598
93281.9,103976,90299.2,3146.78,0.331679
144400,108910,86054.5,3343.34,0.33672
163325,146823,95317.3,3921.19,0.339744
141100,134645,93857.4,4620.07,0.345793
156637,147469,95264.2,3800.16,0.348817
142514,85119.8,84992.7,3190.46,0.35285
110144,99192.5,81865.3,2399.67,0.360915
172016,164777,91612.8,3668.21,0.372005
129740,128715,89322.6,2987.53,0.388135
171689,90893.3,81577.4,2467.92,0.405273
143138,136217,89513.8,2884.7,0.415355
148873,120192,85312.7,2232.23,0.425436
125722,112212,84572.5,2264.99,0.428461
141135,138576,94897.8,3063.97,0.43955
179994,185280,108605,3196.83,0.444591
220067,171828,96399.8,3442.53,0.451648
144286,117098,85099,2366.91,0.454672
97401.3,136576,99342.1,3440.71,0.460721
129495,92352.4,84203.9,2393.3,0.461729
221382,139674,89698,4418.96,0.462738
128290,123487,91894.5,3206.84,0.472819
199582,163333,95408,4570.93,0.475843
149281,152550,97944.7,4405.31,0.478868
143469,148926,95572.1,3355.17,0.481892
188419,208791,113885,4498.13,0.483909
101258,118836,91376.8,2366.91,0.490966
117132,110831,90975.6,2243.15,0.491974
123277,124002,96875.5,3284.19,0.49399
167960,135628,95976.8,3758.3,0.500039
82125.7,95923.9,91252.4,2367.82,0.501047
206962,161556,85692.6,3554.46,0.506088
172862,147830,96657.9,2988.44,0.507096
189170,176036,94880.1,4509.05,0.514153
103598,124587,106434,2360.54,0.536332
150246,184701,111494,4184.18,0.541373
93978.4,78385.2,81792.4,2220.4,0.547422
179535,180187,94188.2,2652.65,0.54843
156387,166164,101444,3348.8,0.557503
112899,160402,115943,3788.33,0.563552
110859,142836,101266,2370.55,0.567584
150753,119199,88711.1,4562.74,0.573633
172846,161181,91616.2,2982.98,0.576658
165641,152239,94039.4,4364.36,0.590772
132439,133417,92315.8,2317.77,0.59178
171477,137319,91828.3,4768.4,0.597829
118707,133066,90840,2769.13,0.599845
137972,108453,85892,4100.46,0.603877
142654,150695,93251,3001.18,0.604886
134071,151784,95224.1,3104.01,0.609926
137293,166771,103388,4369.82,0.611943
138392,84857.5,80268.2,2426.97,0.614967
122550,191239,96436,3876.6,0.619
109711,87874.6,80280.9,1783.6,0.626057
137308,175186,116912,4526.34,0.628073
119629,127795,92213.3,2410.59,0.630089
181927,147972,90516.3,2349.62,0.632105
132881,101364,83543.7,3417.05,0.642187
114436,109895,86395.5,3191.37,0.644203
161370,132288,96879.2,3701.88,0.653277
116860,104781,88268.3,2297.75,0.659325
145551,138858,97432.6,2588.95,0.666382
118151,118696,94675.8,3247.79,0.670415
114103,102478,85151.4,2320.5,0.671423
126759,104978,86628.5,2279.55,0.674447
176074,139506,93042.5,4320.68,0.696627
72232.6,95578.6,94034.8,3863.86,0.699651
169067,188583,100743,2542.54,0.702675
77251.5,109904,96479.8,2322.32,0.729895
119591,112838,90625.2,2425.15,0.738969
151911,120115,88805.1,3954.86,0.740985
155555,106332,82862.6,3704.61,0.746026
120060,105432,85452,2363.27,0.748042
139360,122042,93573.2,3927.56,0.74905
152633,121417,85233.3,2355.99,0.759131
113334,113349,93193.3,2190.37,0.762156
198487,163430,92984.2,4323.41,0.785343
234368,203501,105366,4630.99,0.793408
151580,96509.1,83065,2322.32,0.802482
150009,100549,85148.5,3076.71,0.806514
173529,149535,96191.1,4202.38,0.806514
128341,143775,99219.1,3614.52,0.814579
108392,118379,89055.5,2340.52,0.831718
119587,142317,105440,3595.41,0.842807
156015,156552,98574.2,2659.93,0.843815
158057,155819,103060,2321.41,0.845832
189684,137621,88229.7,4084.99,0.850872
129062,109152,85524.6,2325.05,0.852889
77183.4,64504.3,84292.5,1896.44,0.858938
134858,164934,99012.9,2536.17,0.858938
150642,155995,101430,4351.62,0.86297
145979,152232,95121.9,2640.82,0.871035
148474,134030,95224.5,2325.96,0.878092
157989,142207,94964.2,4250.61,0.878092
123162,119059,90050.7,3104.92,0.882125
119432,148844,104408,2630.81,0.885149
177824,153748,90620.9,2930.2,0.894223
97556.8,90700.7,86030.1,2345.98,0.894223
143801,145530,94898,2456.09,0.895231
99860.1,87345.9,86722.6,2370.55,0.897247
147878,142324,90229.3,2406.04,0.907328
146389,132173,90635.4,3170.44,0.913377
149057,103504,83587.1,3544.45,0.916402
142889,153360,97983.9,3482.57,0.943622
160180,151834,92641,3387.93,0.943622
136005,152326,97921.7,4088.63,1.00109
157963,186272,109774,4404.4,1.00713
122607,88938.6,83430.2,2158.52,1.01218
146176,155971,90714.6,2685.41,1.02427
182100,139471,91244.8,4344.34,1.02931
166168,142841,93685.6,3774.68,1.03335
132739,111293,89420.8,3513.51,1.03738
165992,172194,101708,3396.12,1.03738
132960,112691,84775.5,2214.94,1.04444
228244,190312,93915.9,3247.79,1.04444
122228,97334.1,86072.1,2594.41,1.04444
113224,165869,108883,4630.08,1.05149
143527,139291,96462.6,4160.52,1.0525
183363,179598,106750,4245.15,1.05653
155556,200198,114543,2463.37,1.07166
137319,100686,85674.1,3993.99,1.07871
166865,150315,88871.7,2286.83,1.08174
182541,188537,114313,4170.53,1.08678
125229,160702,110890,4849.39,1.11702
124767,121211,90354.1,3590.86,1.1271
169096,142065,90005,3935.75,1.13416
70957.4,85728.2,86799.7,2485.21,1.14626
187176,125503,84791.1,4561.83,1.15029
193457,171881,90750.6,4551.82,1.16138
124319,115358,93530,4053.14,1.16239
134828,112253,87589.4,2982.07,1.17045
227616,215605,113619,3844.75,1.17751
141527,115422,90740.6,4066.79,1.17953
114049,126611,91635.1,3113.11,1.20876
87139,135422,106030,2392.39,1.2138
182395,177423,98460.7,4601.87,1.21481
163186,122196,91011.9,3888.43,1.21481
157453,132249,89689.6,4581.85,1.21884
173033,206063,116829,3604.51,1.24405
135310,110037,82069,2002,1.24909
161150,102114,81700.2,2471.56,1.25816
154704,142264,90800.5,2539.81,1.26119
132281,132236,91530,2660.84,1.28135
153671,161848,101581,3620.89,1.29042
203631,184354,99887.6,4250.61,1.29143
140336,137163,91175.1,3756.48,1.29849
176608,158688,95944,4603.69,1.29849
130678,103598,85610.3,2325.05,1.3005
166586,144741,94762.8,4017.65,1.30756
138372,119400,90302,2396.03,1.32067
129523,100057,86614.2,3808.35,1.32067
140294,112785,86758.2,2749.11,1.32672
111163,126458,101615,3896.62,1.32974
144674,127115,91974.9,3861.13,1.33781
143238,117801,85319.4,2259.53,1.33881
79093.3,63257.6,79639.8,2137.59,1.34587
159092,120014,84569.6,2481.57,1.35192
163386,158345,100421,2848.3,1.35293
142050,120425,89156.7,2336.88,1.36603
96949.8,102819,88669.2,2264.08,1.36805
97857.2,129002,94089,2373.28,1.38116
88444,138430,105133,3416.14,1.38216
157750,145752,95466.7,4089.54,1.39124
139843,150408,99495.5,2676.31,1.39124
110915,110592,87752.4,2859.22,1.40838
130981,112171,90807.8,4384.38,1.41946
95101.7,83634.1,90556.9,4423.51,1.42148
190702,149812,95839.2,4459,1.4235
126765,105843,85536,2389.66,1.4235
147791,116075,91503.7,4020.38,1.43761
151980,150257,90207.8,2425.15,1.4487
100459,98122.6,84881.8,2356.9,1.45173
161458,148369,93012.4,4444.44,1.45878
129282,108503,87624.6,2291.38,1.47088
115355,126581,94428.1,2919.28,1.47189
109158,80822.9,80539,2324.14,1.47592
136324,116152,92049.5,3795.61,1.49205
184949,134675,93482.5,4153.24,1.49709
96382.5,60624,74154.6,2202.2,1.49709
140636,148792,94398.8,2799.16,1.4981
189453,141915,88188.6,3580.85,1.49911
133496,140614,98657,2590.77,1.50112
203831,200222,94625.6,4621.89,1.50314
192391,152378,98179.7,4647.37,1.50919
129936,90338.9,82788.4,2387.84,1.51121
139844,137726,91595.6,3107.65,1.53439
162448,119430,84307.4,3000.27,1.5596
107824,123405,92853.9,3099.46,1.56161
154365,115301,87290.3,3104.01,1.5727
148018,156956,93987.6,3827.46,1.57774
119455,80928.3,80080.3,2300.48,1.57774
208682,144104,86361.6,3538.08,1.58178
151988,177215,100581,4732,1.58984
128164,123957,90287.9,2432.43,1.609
99983.6,133037,100769,4255.16,1.61
161132,132808,89645,2285.01,1.61303
155221,128019,88854,2543.45,1.62109
83228.3,104395,80809.1,2358.72,1.62714
179298,150949,89913.7,3296.02,1.64025
137698,107538,91079.2,2389.66,1.64327
126778,108700,89208.8,2354.17,1.64529
163585,119176,87801.4,3513.51,1.66344
69622.6,74271.7,85436.2,2269.54,1.67251
161135,128864,89429.1,3680.04,1.67251
183616,136119,91663.7,3688.23,1.67352
188377,146546,91783.8,4554.55,1.67553
134642,150926,96922.3,4094.09,1.68965
119925,136514,91842.9,2415.14,1.69469
86054.8,80435.3,87422.6,2387.84,1.69872
138023,146164,97229.9,3780.14,1.70275
142676,150882,97997.4,2807.35,1.70477
128795,141776,96123.6,2311.4,1.71485
121457,127205,96525.3,3050.32,1.71888
175915,162322,97413.6,4010.37,1.72191
234162,224827,100945,3573.57,1.72796
186653,168106,97483.3,2756.39,1.72896
169723,151779,92761.3,3251.43,1.73098
160928,196925,119682,3903.9,1.73199
132350,115221,91085.3,4405.31,1.73199
137232,148177,97457.9,2898.35,1.75518
262143,187617,97639.1,4656.47,1.75921
123205,129233,87769.4,2894.71,1.76223
152500,136300,96686.4,3627.26,1.76324
142452,180131,99149.6,4194.19,1.76727
112324,96211.9,88771.4,2365.09,1.77332
142554,181173,109963,4728.36,1.77433
107575,92058.6,87039.7,2481.57,1.7955
159111,130876,87729,4434.43,1.80962
138307,102931,86420.9,3579.03,1.81062
107051,135397,107836,2454.27,1.81365
153969,176133,97134.6,3654.56,1.81567
167958,122959,86928.9,2867.41,1.81667
105194,128000,99995.4,2348.71,1.8197
107064,90362.1,82386.9,2461.55,1.82776
174292,131286,89106.7,2356.9,1.82776
144381,133406,92089.5,2810.99,1.8328
100961,122573,94643.1,2345.98,1.83381
161764,134476,92833,3525.34,1.83381
136645,120200,93110.3,3985.8,1.8449
109549,109126,95085.6,2575.3,1.87212
101556,127805,93298.1,2881.97,1.8943
149010,135152,94015.9,2325.96,1.89531
192760,173148,95575,4448.99,1.9064
106096,129865,95465.5,2983.89,1.92656
130857,144969,100841,3634.54,1.92858
174284,141089,90007,3963.96,1.93563
82163.3,124663,103299,3655.47,1.93866
124336,136731,99725.1,2787.33,1.94168
163085,116302,85203.6,2473.38,1.95378
131771,119126,88942.6,2477.02,2.03645
120970,159507,101899,2578.03,2.04653
198534,161378,86605.2,2400.58,2.04653
149222,114987,88729,2947.49,2.05258
129933,116418,98104.5,4500.86,2.05863
184554,151187,91561.1,3652.74,2.08484
137740,182344,111556,3909.36,2.10097
208132,168022,93830.5,3727.36,2.10299
163564,186337,101165,4415.32,2.11609
148957,118231,85400.5,2453.36,2.12617
215281,212175,105281,4655.56,2.12617
183284,155109,95639.2,3672.76,2.1292
117244,125591,91040.6,2582.58,2.13323
129185,168859,97375.3,2711.8,2.13525
127265,146029,90247.3,2636.27,2.14029
161400,202656,111861,3191.37,2.1423
120317,127783,98107.6,3711.89,2.14634
150694,159334,94541.7,3075.8,2.14734
181629,161658,99127.4,3834.74,2.14734
180946,138224,92231.9,4267.9,2.14936
134975,148225,101131,3826.55,2.15138
127471,92719.3,80814.6,2465.19,2.15138
152615,151443,100065,3135.86,2.16347
153191,99410.8,87299.5,2704.52,2.16549
143102,106904,87577.9,2988.44,2.16952
153980,163035,102031,4397.12,2.18263
141487,141552,94610.2,3478.02,2.21388
116917,127859,82478.2,2532.53,2.22497
138117,133930,96234,3978.52,2.22497
121683,112989,90738.8,3628.17,2.25017
166749,126060,86120,3301.48,2.25824
135966,187989,105860,4234.23,2.27034
108679,99157.6,79623.5,2325.05,2.27034
132823,149283,93727,3785.6,2.28848
138774,112436,85477.7,2870.14,2.30159
143420,131187,88083.6,3937.57,2.30663
88206.8,104126,94381.9,4071.34,2.31066
111637,118449,92133.3,2349.62,2.32276
156654,120755,87693.4,3260.53,2.3278
111660,95807.7,84200.8,2300.48,2.33687
169063,153094,98116.4,3961.23,2.33889
193724,150125,87389.4,4499.04,2.34091
170401,137736,89919.6,2389.66,2.34393
115209,180829,105538,2663.57,2.35401
105507,111125,92192.5,3108.56,2.39636
115198,84789.5,81618.7,2872.87,2.39837
133965,139101,100691,3777.41,2.42559
202819,151438,91559.4,4117.75,2.43769
113168,110817,88872,2426.97,2.4518
175141,147514,90200.4,3793.79,2.45886
144902,131308,93559.7,2865.59,2.46693
137143,164887,96184.4,4428.97,2.476
123294,140185,98030.1,2254.98,2.47701
157088,179610,107471,4575.48,2.47902
174923,153905,97642.1,4266.99,2.49314
103225,94659.8,83374.2,2378.74,2.49414
82812.3,74250.1,79664.3,2369.64,2.49717
128838,136031,92629.5,2763.67,2.49717
153910,153435,95455.7,2844.66,2.49717
241327,229873,109443,4396.21,2.49717
141472,129009,93288.8,3599.96,2.49717
121418,101062,85273.3,2320.5,2.50019
154959,140711,106477,4456.27,2.50019
174368,183618,102137,3811.99,2.50423
165389,113503,84029,2380.56,2.51128
116621,143467,103605,2457.91,2.51733
95871.3,139063,104340,3897.53,2.51733
165626,155139,87909.4,1973.79,2.55665
188503,166208,94519.6,3070.34,2.55766
121972,144161,101006,3486.21,2.56068
148458,121578,84812.2,2638.09,2.56673
146492,145930,104135,2409.68,2.56774
108274,141269,105324,3099.46,2.57681
158331,130915,91064.6,3766.49,2.57782
134476,129600,87718.2,2938.39,2.58185
166409,180361,100117,3362.45,2.59193
129762,104460,90359,2630.81,2.62016
160335,127141,92916.8,3181.36,2.64133
55802.4,47197.9,78238.6,2312.31,2.65646
100169,91886.8,88920.8,3026.66,2.65847
170377,205444,116639,4721.08,2.65948
156827,152175,95246,2963.87,2.66956
220381,162177,99421.3,4244.24,2.68771
138885,129366,89445.2,3306.94,2.69073
103516,105961,86132.6,2116.66,2.70384
158235,143106,96022.4,3755.57,2.70787
99651.3,98188.2,89715.7,2475.2,2.71493
146061,96993,84885,2357.81,2.724
170468,125770,86183.9,4013.1,2.73005
129194,174610,97397,4142.32,2.73207
130629,126200,95294.8,2431.52,2.73711
129844,121246,91188.1,3442.53,2.74316
169691,178214,105252,4595.5,2.75122
127582,119990,89440,3488.94,2.75626
100916,153187,104591,2689.05,2.77038
132832,141544,98200.7,4174.17,2.77038
155504,113583,88406.9,2551.64,2.77239
73676.7,117817,99991.5,2386.93,2.78953
103481,130769,97017.9,2874.69,2.7986
193465,159913,91504,3665.48,2.80465
104004,111253,96865.8,3236.87,2.8107
146193,117692,85492.3,2682.68,2.81373
200727,164638,94778,2503.41,2.8228
125291,141581,91899.4,3560.83,2.84599
197207,177208,96252.4,2870.14,2.85304
157082,136629,93111.9,3179.54,2.85506
129969,94141.1,86479.6,2371.46,2.86212
131958,168273,104437,2456.09,2.86413
159901,135555,91858.4,3425.24,2.87321
181049,162934,90996.2,3736.46,2.87421
154578,194866,104103,4468.1,2.87421
168281,137343,85942.9,2292.29,2.87825
161868,148833,93561.9,3534.44,2.87825
86649.1,135905,95279.9,2381.47,2.88329
129539,127218,92957.7,3614.52,2.88631
168056,118132,86417.8,3198.65,2.88631
135484,104216,84622.1,3328.78,2.89337
151935,129431,87315.9,4524.52,2.89539
170124,120473,97579,2416.05,2.91756
152076,194284,107491,4445.35,2.9216
140829,97451.1,85976,2430.61,2.94882
115503,173831,107051,2461.55,2.95386
144682,142595,91547.7,2474.29,2.95487
170806,140243,95166.5,2295.93,2.95991
201881,149137,87237.6,4470.83,2.96999
152974,90730.6,79574.5,2939.3,2.96999
141967,118673,91101.4,2276.82,2.971
163504,181401,107335,4610.06,2.98309
148966,123704,96041.6,2261.35,2.99418
136244,135004,92022.5,3662.75,3.00729
86775.5,120024,106218,2403.31,3.02846
141049,153435,99727.7,3736.46,3.03249
171955,153026,95247.7,3640.91,3.03955
125652,129376,93092.8,2345.07,3.04257
129356,144994,89780.7,2407.86,3.05568
94302.9,62438.4,77822.1,1983.8,3.07282
143386,110542,86933,2409.68,3.07282
150979,118663,87505.8,3098.55,3.08391
139518,128949,97191.4,4088.63,3.09298
131352,116217,90889.6,2544.36,3.10609
116004,128244,94896.5,2386.02,3.11113
157350,192865,100039,4173.26,3.11214
190321,212269,103448,4656.47,3.11617
141433,142503,92219.4,4269.72,3.11617
153449,138405,96323.7,3992.17,3.13028
207837,143654,86854.5,2579.85,3.13835
161144,131631,92203.3,2249.52,3.13835
184693,187360,103975,4287.92,3.1444
